Re,St,Cd
3533.98,0.29,0.62
2523.58,0.28,0.7
1225.63,0.25,0.95
274.83,0.18,1.09
841.71,0.2,0.92
1033.52,0.24,0.82
1078.54,0.2,0.88
421.95,0.18,1.08
913.31,0.27,0.81
652.46,0.24,0.86
3185.03,0.24,0.64
4752.93,0.23,0.72
241.89,0.15,1.14
103.83,0.13,1.26
1002.25,0.17,0.9
346.04,0.21,0.95
3766.59,0.22,0.75
2178.72,0.22,0.74
212.9,0.19,1.11
57.2,0.15,1.25
3024.22,0.28,0.64
346.86,0.23,0.96
2881.06,0.2,0.75
388.21,0.15,1.16
3053.76,0.22,0.77
1824.4,0.26,0.83
1041.03,0.22,0.94
682.24,0.19,1
2921.54,0.27,0.63
108.1,0.18,1.23
2505.14,0.28,0.63
117.79,0.17,1.19
2402.56,0.26,0.68
4120.87,0.28,0.68
4095.96,0.26,0.58
342.81,0.15,1.08
231.44,0.19,1.11
4314.37,0.3,0.57
4773.67,0.23,0.67
305.68,0.16,1.07
245.29,0.17,1.01
3250.83,0.26,0.65
69.52,0.15,1.27
51.04,0.14,1.31
744.99,0.17,1.07
3181.64,0.23,0.74
2469.23,0.26,0.69
453.9,0.23,0.92
3139.12,0.24,0.86
3372.98,0.22,0.79
468.13,0.25,0.87
1472.51,0.19,1.01
242.77,0.2,1.07
1151.92,0.21,0.93
1222.44,0.2,0.93
373.97,0.14,1.17
219.86,0.17,1.12
126.43,0.19,1.1
1973.85,0.24,0.75
4209.78,0.26,0.71
3402.24,0.28,0.6
1421.73,0.19,0.93
2698.36,0.21,0.73
240.37,0.17,1.02
94.06,0.19,1.01
4571.15,0.27,0.6
1473.98,0.25,0.77
68.98,0.13,1.37
95.95,0.13,1.39
644,0.21,0.81
1448.86,0.22,0.99
2747.79,0.23,0.77
180.58,0.19,0.97
1319.66,0.19,0.96
264.99,0.17,1.1
1078.67,0.23,0.94
204.39,0.19,0.97
1367.94,0.21,0.89
847.6,0.18,0.93
2829.83,0.23,0.75
2459.64,0.22,0.88
479.19,0.22,0.91
366.4,0.17,1.12
1818.18,0.21,0.76
276.4,0.17,0.94
73.99,0.18,1.18
2194.7,0.2,0.93
396.42,0.18,0.99
36.96,0.16,1.3
115.85,0.16,1.19
137.27,0.15,1.24
159.36,0.15,1.21
1623.63,0.23,0.8
1537.35,0.2,0.92
329.75,0.14,1.09
1101.94,0.24,0.98
394.41,0.18,1.03
2109.55,0.26,0.7
2250.92,0.25,0.76
64.26,0.13,1.31
830.88,0.2,0.8
1772.31,0.24,0.78
274.94,0.22,1
386.35,0.18,1.02
119.92,0.19,1.09
2265.93,0.26,0.69
2827.22,0.25,0.75
